"No.","Time","Source","Protocol","Length","Info","Destination"
"1","0.000000","192.168.1.108","DNS","74","Standard query 0xf30a A www.google.com","192.168.1.1"
"2","0.006902","192.168.1.1","DNS","90","Standard query response 0xf30a A www.google.com A 172.217.12.196","192.168.1.108"
"3","0.297753","192.168.1.108","DNS","77","Standard query 0x3806 A fonts.gstatic.com","192.168.1.1"
"4","0.325371","192.168.1.1","DNS","129","Standard query response 0x3806 A fonts.gstatic.com CNAME gstaticadssl.l.google.com A 172.217.3.99","192.168.1.108"
"5","0.426047","192.168.1.108","DNS","78","Standard query 0x5efc A support.google.com","192.168.1.1"
"6","0.458033","192.168.1.108","DNS","78","Standard query 0x5efc A support.google.com","192.168.1.1"
"7","0.479704","192.168.1.1","DNS","94","Standard query response 0x5efc A support.google.com A 172.217.10.14","192.168.1.108"
"8","0.479704","192.168.1.1","DNS","94","Standard query response 0x5efc A support.google.com A 172.217.10.14","192.168.1.108"
"9","3.018455","192.168.1.108","DNS","77","Standard query 0x6b68 A ir.ebaystatic.com","192.168.1.1"
"10","3.018456","192.168.1.108","DNS","72","Standard query 0x6833 A www.ebay.com","192.168.1.1"
"11","3.018534","192.168.1.108","DNS","80","Standard query 0x8dc6 A adservice.google.com","192.168.1.1"
"12","3.050627","192.168.1.108","DNS","72","Standard query 0x6833 A www.ebay.com","192.168.1.1"
"13","3.050630","192.168.1.108","DNS","77","Standard query 0x6b68 A ir.ebaystatic.com","192.168.1.1"
"14","3.050633","192.168.1.108","DNS","80","Standard query 0x8dc6 A adservice.google.com","192.168.1.1"
"15","3.051075","192.168.1.1","DNS","136","Standard query response 0x8dc6 A adservice.google.com CNAME pagead46.l.doubleclick.net A 172.217.12.194","192.168.1.108"
"16","3.052953","192.168.1.108","DNS","73","Standard query 0x3d1e A i.ebayimg.com","192.168.1.1"
"17","3.057736","192.168.1.1","DNS","196","Standard query response 0x6b68 A ir.ebaystatic.com CNAME ir.ebaycdn.net CNAME slot11847.ebay.com.edgekey.net CNAME e11847.g.akamaiedge.net A 69.192.110.48","192.168.1.108"
"18","3.058707","192.168.1.1","DNS","136","Standard query response 0x8dc6 A adservice.google.com CNAME pagead46.l.doubleclick.net A 172.217.12.194","192.168.1.108"
"19","3.060536","192.168.1.108","DNS","76","Standard query 0x62cc A p.ebaystatic.com","192.168.1.1"
"20","3.065832","192.168.1.1","DNS","164","Standard query response 0x6833 A www.ebay.com CNAME slot9428.ebay.com.edgekey.net CNAME e9428.b.akamaiedge.net A 23.33.241.97","192.168.1.108"
"21","3.070635","192.168.1.1","DNS","170","Standard query response 0x62cc A p.ebaystatic.com CNAME slot11847.ebay.com.edgekey.net CNAME e11847.g.akamaiedge.net A 69.192.110.48","192.168.1.108"
"22","3.084206","192.168.1.108","DNS","73","Standard query 0x3d1e A i.ebayimg.com","192.168.1.1"
"23","3.106761","192.168.1.1","DNS","202","Standard query response 0x3d1e A i.ebayimg.com CNAME images.ebaycdn.net CNAME ipv6.slot9428.ebay.com.edgekey.net CNAME e9428.dscb.akamaiedge.net A 96.6.25.56","192.168.1.108"
"24","3.267110","192.168.1.108","DNS","80","Standard query 0x86bd A srv.main.ebayrtm.com","192.168.1.1"
"25","3.284241","192.168.1.1","DNS","178","Standard query response 0x86bd A srv.main.ebayrtm.com CNAME srv.ebayrtm.com CNAME madronaext.g.ebay.com A 66.211.173.44 A 66.135.201.59 A 66.135.201.92","192.168.1.108"
"26","3.291350","192.168.1.108","DNS","74","Standard query 0x08b9 A rover.ebay.com","192.168.1.1"
"27","3.291443","192.168.1.108","DNS","83","Standard query 0x80ea A secureir.ebaystatic.com","192.168.1.1"
"28","3.300243","192.168.1.108","DNS","91","Standard query 0x9037 TXT 56.25.6.96.ip.01.s.sophosxl.net","192.168.1.1"
"29","3.309447","192.168.1.1","DNS","165","Standard query response 0x08b9 A rover.ebay.com CNAME rover.intl.g.ebay.com A 66.135.214.209 A 66.211.183.107 A 64.4.252.44 A 64.4.252.11","192.168.1.108"
"30","3.310262","192.168.1.1","DNS","175","Standard query response 0x80ea A secureir.ebaystatic.com CNAME slot9428.ebay.com.edgekey.net CNAME e9428.b.akamaiedge.net A 96.6.25.56","192.168.1.108"
"31","3.327391","192.168.1.1","DNS","91","Standard query response 0x9037 No such name TXT 56.25.6.96.ip.01.s.sophosxl.net","192.168.1.108"
"32","4.238321","192.168.1.108","DNS","94","Standard query 0xa783 TXT 44.173.211.66.ip.01.s.sophosxl.net","192.168.1.1"
"33","4.261996","192.168.1.1","DNS","94","Standard query response 0xa783 No such name TXT 44.173.211.66.ip.01.s.sophosxl.net","192.168.1.108"
"34","4.334032","192.168.1.108","DNS","87","Standard query 0xe394 A googleads.g.doubleclick.net","192.168.1.1"
"35","4.345537","192.168.1.1","DNS","128","Standard query response 0xe394 A googleads.g.doubleclick.net CNAME pagead46.l.doubleclick.net A 172.217.10.66","192.168.1.108"
"36","4.558466","192.168.1.108","DNS","78","Standard query 0x6b24 A ebayinc.demdex.net","192.168.1.1"
"37","4.589709","192.168.1.108","DNS","78","Standard query 0x6b24 A ebayinc.demdex.net","192.168.1.1"
"38","4.592763","192.168.1.1","DNS","316","Standard query response 0x6b24 A ebayinc.demdex.net CNAME gslb-2.demdex.net CNAME edge-usw2.demdex.net CNAME dcs-edge-usw2-620097651.us-west-2.elb.amazonaws.com A 34.208.131.21 A 35.167.26.158 A 35.160.52.47 A 35.161.118.223 A 35.161.52.15 A 35.163.173.161 A 34.209.127.1 A 34.212.232.109","192.168.1.108"
"39","4.595267","192.168.1.1","DNS","336","Standard query response 0x6b24 A ebayinc.demdex.net CNAME gslb-2.demdex.net CNAME edge-usw2.demdex.net CNAME dcs-edge-usw2-620097651.us-west-2.elb.amazonaws.com A 34.212.232.109 A 34.209.127.1 A 35.163.173.161 A 35.161.52.15 A 35.161.118.223 A 35.160.52.47 A 35.167.26.158 A 34.208.131.21","192.168.1.108"
"40","4.669359","192.168.1.108","DNS","94","Standard query 0x6607 TXT 21.131.208.34.ip.01.s.sophosxl.net","192.168.1.1"
"41","4.669996","192.168.1.108","DNS","94","Standard query 0x3c84 TXT 21.131.208.34.ip.01.s.sophosxl.net","192.168.1.1"
"42","4.688651","192.168.1.1","DNS","94","Standard query response 0x3c84 No such name TXT 21.131.208.34.ip.01.s.sophosxl.net","192.168.1.108"
"43","4.689944","192.168.1.1","DNS","94","Standard query response 0x6607 No such name TXT 21.131.208.34.ip.01.s.sophosxl.net","192.168.1.108"
"44","6.383638","192.168.1.108","DNS","89","Standard query 0xb7c4 A v10.events.data.microsoft.com","192.168.1.1"
"45","6.410274","192.168.1.1","DNS","200","Standard query response 0xb7c4 A v10.events.data.microsoft.com CNAME v10.events.data.microsoft.com.aria.akadns.net CNAME onecollector.cloudapp.aria.akadns.net A 52.114.77.33","192.168.1.108"
